# SHIELDEVAL RAW v3
# SAMPLE=N03_connector
# FIXTURE=CONN
# LC=0.05
# DATE=2021-04-12
# CAL=cal_20210412.cal
# COLUMNS=f[Hz] a[dB] phase[deg]
3.715352e+07 41.07 84.8
3.801894e+07 40.88 84.6
3.890451e+07 40.68 84.5
3.981072e+07 40.48 84.4
4.073803e+07 40.28 84.2
4.168694e+07 40.09 84.1
4.265795e+07 39.89 83.9
4.365158e+07 39.69 83.8
4.466836e+07 39.50 83.7
4.570882e+07 39.30 83.5
4.677351e+07 39.10 83.4
4.786301e+07 38.90 83.2
4.897788e+07 38.70 83.1
5.011872e+07 38.51 82.9
5.128614e+07 38.31 82.8
5.248075e+07 38.12 82.6
5.370318e+07 37.92 82.4
5.495409e+07 37.72 82.2
5.623413e+07 37.53 82.0
5.754399e+07 37.33 81.9
5.888437e+07 37.13 81.7
6.025596e+07 36.94 81.5
6.165950e+07 36.75 81.3
6.309573e+07 36.55 81.1
6.456542e+07 36.35 80.9
6.606934e+07 36.15 80.7
6.760830e+07 35.96 80.5
6.918310e+07 35.76 80.2
7.079458e+07 35.57 80.0
7.244360e+07 35.38 79.8
7.413102e+07 35.18 79.5
7.585776e+07 34.98 79.3
7.762471e+07 34.79 79.0
7.943282e+07 34.60 78.8
8.128305e+07 34.40 78.5
8.317638e+07 34.21 78.2
8.511380e+07 34.01 78.0
8.709636e+07 33.82 77.7
8.912509e+07 33.63 77.4
9.120108e+07 33.43 77.1
9.332543e+07 33.24 76.8
9.549926e+07 33.05 76.5
9.772372e+07 32.85 76.2
1.000000e+08 32.66 75.9
1.023293e+08 32.47 75.6
1.047129e+08 32.28 75.2
1.071519e+08 32.09 74.9
1.096478e+08 31.89 74.5
1.122018e+08 31.70 74.2
1.148154e+08 31.51 73.8
1.174898e+08 31.32 73.5
1.202264e+08 31.13 73.1
1.230269e+08 30.94 72.7
1.258925e+08 30.75 72.3
1.288250e+08 30.56 71.9
1.318257e+08 30.37 71.5
1.348963e+08 30.18 71.0
1.380384e+08 30.00 70.6
1.412538e+08 29.81 70.1
1.445440e+08 29.62 69.7
1.479108e+08 29.43 69.2
1.513561e+08 29.25 68.8
1.548817e+08 29.06 68.3
1.584893e+08 28.88 67.8
1.621810e+08 28.69 67.3
1.659587e+08 28.51 66.7
1.698244e+08 28.32 66.2
1.737801e+08 28.14 65.7
1.778279e+08 27.96 65.1
1.819701e+08 27.78 64.5
1.862087e+08 27.59 64.0
1.905461e+08 27.41 63.4
1.949845e+08 27.23 62.8
1.995262e+08 27.06 62.2
2.041738e+08 26.88 61.5
2.089296e+08 26.70 60.9
2.137962e+08 26.52 60.2
2.187762e+08 26.35 59.5
2.238721e+08 26.17 58.9
2.290868e+08 26.00 58.2
2.344229e+08 25.83 57.4
2.398833e+08 25.65 56.7
2.454709e+08 25.48 56.0
2.511886e+08 25.31 55.2
2.570396e+08 25.14 54.4
2.630268e+08 24.98 53.6
2.691535e+08 24.81 52.8
2.754229e+08 24.65 52.0
2.818383e+08 24.48 51.1
2.884032e+08 24.32 50.3
2.951209e+08 24.16 49.4
3.019952e+08 24.00 48.5
3.090295e+08 23.84 47.6
3.162278e+08 23.69 46.7
3.235937e+08 23.53 45.7
3.311311e+08 23.38 44.8
3.388442e+08 23.23 43.8
3.467369e+08 23.08 42.8
3.548134e+08 22.93 41.7
3.630781e+08 22.78 40.7
3.715352e+08 22.64 39.6
3.801894e+08 22.49 38.5
3.890451e+08 22.35 37.4
3.981072e+08 22.22 36.3
4.073803e+08 22.08 35.2
4.168694e+08 21.95 34.0
4.265795e+08 21.81 32.8
4.365158e+08 21.68 31.6
4.466836e+08 21.56 30.4
4.570882e+08 21.43 29.1
4.677351e+08 21.31 27.8
4.786301e+08 21.19 26.5
4.897788e+08 21.07 25.2
5.011872e+08 20.96 23.9
5.128614e+08 20.85 22.5
5.248075e+08 20.74 21.1
5.370318e+08 20.63 19.7
5.495409e+08 20.53 18.2
5.623413e+08 20.43 16.8
5.754399e+08 20.33 15.3
5.888437e+08 20.24 13.8
6.025596e+08 20.15 12.2
6.165950e+08 20.06 10.6
6.309573e+08 19.98 9.0
6.456542e+08 19.89 7.4
6.606934e+08 19.82 5.7
6.760830e+08 19.74 4.0
6.918310e+08 19.67 2.3
7.079458e+08 19.60 0.6
7.244360e+08 19.54 -1.2
7.413102e+08 19.48 -3.0
7.585776e+08 19.42 -4.9
7.762471e+08 19.37 -6.8
7.943282e+08 19.32 -8.7
8.128305e+08 19.27 -10.7
8.317638e+08 19.23 -12.7
8.511380e+08 19.19 -14.7
8.709636e+08 19.15 -16.8
8.912509e+08 19.12 -19.0
9.120108e+08 19.09 -21.2
9.332543e+08 19.07 -23.4
9.549926e+08 19.05 -25.7
9.772372e+08 19.04 -28.0
1.000000e+09 19.02 -30.4
